ERROR,CURRENT,VREF
2,15,368
2,18,377
2,18,377
2,18,377
2,18,377
2,18,377
2,15,368
2,15,368
2,15,368
2,15,368
2,15,368
2,15,368
2,15,368
2,14,365
2,14,365
2,14,365
3,17,374
3,17,374
3,17,374
3,17,374
3,17,374
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,15,368
3,15,368
3,15,368
3,15,369
3,13,363
3,13,363
3,13,363
3,13,363
3,13,363
3,13,363
3,13,363
3,13,363
3,15,369
4,15,369
4,16,372
4,16,372
4,16,372
4,16,372
4,16,372
4,17,375
4,17,375
4,17,375
4,15,369
4,15,369
4,15,369
4,15,369
4,14,366
4,14,366
4,14,366
4,15,369
4,15,369
4,15,369
4,15,369
4,15,369
4,15,369
4,15,369
4,16,372
4,16,372
4,16,372
4,16,372
4,16,372
4,14,366
4,14,366
4,14,366
4,14,366
4,14,366
4,14,366
5,14,367
5,15,370
5,15,370
5,15,370
5,15,370
5,15,370
5,15,370
5,15,370
5,17,376
5,17,376
5,17,376
5,17,376
5,16,373
5,16,373
5,16,373
5,16,373
4,16,371
4,16,372
4,16,372
4,16,372
4,15,370
4,15,370
4,15,370
4,16,373
4,16,373
4,16,373
4,16,373
4,16,373
4,16,373
4,16,373
4,15,370
4,15,370
4,15,370
1,15,369
1,19,382
1,19,382
1,19,382
1,17,376
1,17,376
1,17,376
1,17,376
1,17,376
1,17,376
1,17,376
1,16,373
1,16,373
1,16,373
1,16,373
1,16,373
1,16,370
1,16,370
1,16,370
1,16,370
1,16,370
1,16,370
1,15,367
1,15,367
1,15,367
1,16,370
1,16,370
1,16,370
1,16,370
1,15,367
1,15,367
3,15,367
3,16,370
3,16,370
3,16,370
3,16,370
3,16,370
3,14,364
3,14,364
3,16,370
3,16,370
3,16,370
3,16,370
3,16,370
3,15,367
3,15,367
3,15,367
3,16,370
7,16,371
7,16,371
7,16,371
7,16,371
7,16,371
7,16,371
7,16,371
7,16,371
7,16,371
7,16,371
7,15,368
7,15,368
7,15,368
7,15,368
7,15,369
7,15,369
7,15,369
6,15,368
6,16,372
6,16,372
6,16,372
6,16,372
6,15,369
6,15,369
6,15,369
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,15,369
6,15,369
6,16,372
6,16,372
6,16,372
6,16,372
6,16,372
6,15,369
6,15,369
6,16,372
6,16,372
6,16,372
6,16,372
3,16,370
3,16,371
3,16,371
3,16,371
3,15,368
3,15,368
3,15,368
3,15,368
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,16,371
3,15,368
3,15,369
2,15,368
2,15,369
2,15,369
2,16,372
2,16,372
2,16,372
2,17,375
2,17,375
2,17,375
2,17,375
2,16,372
2,16,372
2,16,372
2,18,378
2,18,378
2,18,378
2,16,370
2,16,370
2,16,370
2,16,370
2,15,367
2,15,367
2,15,367
2,15,367
2,15,367
2,15,367
2,15,367
2,15,367
2,16,370
2,16,370
2,16,370
2,16,370
2,15,367
2,15,367
2,15,367
4,15,367
4,15,367
4,15,368
4,15,368
4,15,368
4,15,368
4,15,368
4,15,368
4,15,368
4,16,371
4,16,371
4,16,371
4,15,368
4,15,368
4,15,368
4,15,368
4,15,368
8,17,375
8,17,375
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,16,372
8,17,375
8,17,375
5,17,374
5,17,375
5,17,375
5,17,375
5,17,375
5,16,372
5,16,372
5,16,372
5,16,372
5,17,375
5,17,375
5,17,375
5,15,369
5,15,369
5,15,369
5,15,369
10,15,368
10,15,368
10,15,368
10,15,368
10,15,368
10,15,368
10,15,368
10,12,360
10,12,360
10,12,360
10,12,360
10,16,372
10,16,372
10,16,372
10,16,372
10,17,375
10,17,375
15,17,376
15,16,373
15,16,373
15,16,373
15,16,373
15,15,370
15,15,370
15,15,370
15,16,373
15,16,373
15,16,373
15,16,373
15,16,374
15,14,368
15,14,368
